Row,Col,Color,Strain
A,1,#4daf4a,DH5a
A,2,#4daf4a,DH5a
A,3,#4daf4a,DH5a
A,4,#4daf4a,DH5a
A,5,#377eb8,Competition
A,6,#377eb8,Competition
A,7,#377eb8,Competition
A,8,#377eb8,Competition
A,9,#e41a1c,TG1
A,10,#e41a1c,TG1
A,11,#e41a1c,TG1
A,12,#e41a1c,TG1
B,1,#4daf4a,DH5a
B,2,#4daf4a,DH5a
B,3,#4daf4a,DH5a
B,4,#4daf4a,DH5a
B,5,#377eb8,Competition
B,6,#377eb8,Competition
B,7,#377eb8,Competition
B,8,#377eb8,Competition
B,9,#e41a1c,TG1
B,10,#e41a1c,TG1
B,11,#e41a1c,TG1
B,12,#e41a1c,TG1
C,1,#4daf4a,DH5a
C,2,#4daf4a,DH5a
C,3,#4daf4a,DH5a
C,4,#4daf4a,DH5a
C,5,#377eb8,Competition
C,6,#377eb8,Competition
C,7,#377eb8,Competition
C,8,#377eb8,Competition
C,9,#e41a1c,TG1
C,10,#e41a1c,TG1
C,11,#e41a1c,TG1
C,12,#e41a1c,TG1
D,1,#4daf4a,DH5a
D,2,#4daf4a,DH5a
D,3,#4daf4a,DH5a
D,4,#4daf4a,DH5a
D,5,#377eb8,Competition
D,6,#377eb8,Competition
D,7,#377eb8,Competition
D,8,#377eb8,Competition
D,9,#e41a1c,TG1
D,10,#e41a1c,TG1
D,11,#e41a1c,TG1
D,12,#e41a1c,TG1
E,1,#4daf4a,DH5a
E,2,#4daf4a,DH5a
E,3,#4daf4a,DH5a
E,4,#4daf4a,DH5a
E,5,#377eb8,Competition
E,6,#377eb8,Competition
E,7,#377eb8,Competition
E,8,#377eb8,Competition
E,9,#e41a1c,TG1
E,10,#e41a1c,TG1
E,11,#e41a1c,TG1
E,12,#e41a1c,TG1
F,1,#4daf4a,DH5a
F,2,#4daf4a,DH5a
F,3,#4daf4a,DH5a
F,4,#4daf4a,DH5a
F,5,#377eb8,Competition
F,6,#377eb8,Competition
F,7,#377eb8,Competition
F,8,#377eb8,Competition
F,9,#e41a1c,TG1
F,10,#e41a1c,TG1
F,11,#e41a1c,TG1
F,12,#e41a1c,TG1
G,1,#4daf4a,DH5a
G,2,#4daf4a,DH5a
G,3,#4daf4a,DH5a
G,4,#4daf4a,DH5a
G,5,#377eb8,Competition
G,6,#377eb8,Competition
G,7,#377eb8,Competition
G,8,#377eb8,Competition
G,9,#e41a1c,TG1
G,10,#e41a1c,TG1
G,11,#e41a1c,TG1
G,12,#ffffff,blank
H,1,#4daf4a,DH5a
H,2,#4daf4a,DH5a
H,3,#4daf4a,DH5a
H,4,#4daf4a,DH5a
H,5,#377eb8,Competition
H,6,#377eb8,Competition
H,7,#377eb8,Competition
H,8,#377eb8,Competition
H,9,#e41a1c,TG1
H,10,#e41a1c,TG1
H,11,#e41a1c,TG1
H,12,#ffffff,blank