Row,Col,Strain,Color
A,1,1,#e41a1c
A,2,2,#377eb8
A,3,3,#4daf4a
A,4,4,#984ea3
A,5,5,#ff7f00
A,6,6,#ffff33
A,7,7,#a65628
A,8,8,#f781bf
A,9,9,#999999
A,10,0,#ffffff
A,11,0,#ffffff
A,12,0,#ffffff
B,1,1,#e41a1c
B,2,2,#377eb8
B,3,3,#4daf4a
B,4,4,#984ea3
B,5,5,#ff7f00
B,6,6,#ffff33
B,7,7,#a65628
B,8,8,#f781bf
B,9,9,#999999
B,10,0,#ffffff
B,11,0,#ffffff
B,12,0,#ffffff
C,1,1,#e41a1c
C,2,2,#377eb8
C,3,3,#4daf4a
C,4,4,#984ea3
C,5,5,#ff7f00
C,6,6,#ffff33
C,7,7,#a65628
C,8,8,#f781bf
C,9,9,#999999
C,10,0,#ffffff
C,11,0,#ffffff
C,12,0,#ffffff
D,1,1,#e41a1c
D,2,2,#377eb8
D,3,3,#4daf4a
D,4,4,#984ea3
D,5,5,#ff7f00
D,6,6,#ffff33
D,7,7,#a65628
D,8,8,#f781bf
D,9,9,#999999
D,10,0,#ffffff
D,11,0,#ffffff
D,12,0,#ffffff
E,1,1,#e41a1c
E,2,2,#377eb8
E,3,3,#4daf4a
E,4,4,#984ea3
E,5,5,#ff7f00
E,6,6,#ffff33
E,7,7,#a65628
E,8,8,#f781bf
E,9,9,#999999
E,10,0,#ffffff
E,11,0,#ffffff
E,12,0,#ffffff
F,1,1,#e41a1c
F,2,2,#377eb8
F,3,3,#4daf4a
F,4,4,#984ea3
F,5,5,#ff7f00
F,6,6,#ffff33
F,7,7,#a65628
F,8,8,#f781bf
F,9,9,#999999
F,10,0,#ffffff
F,11,0,#ffffff
F,12,0,#ffffff
G,1,1,#e41a1c
G,2,2,#377eb8
G,3,3,#4daf4a
G,4,4,#984ea3
G,5,5,#ff7f00
G,6,6,#ffff33
G,7,7,#a65628
G,8,8,#f781bf
G,9,9,#999999
G,10,0,#ffffff
G,11,0,#ffffff
G,12,0,#ffffff
H,1,1,#e41a1c
H,2,2,#377eb8
H,3,3,#4daf4a
H,4,4,#984ea3
H,5,5,#ff7f00
H,6,6,#ffff33
H,7,7,#a65628
H,8,8,#f781bf
H,9,9,#999999
H,10,0,#ffffff
H,11,0,#ffffff
H,12,0,#ffffff